PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
21,https://simple-cv-builder.com/forgot-username.php,Forgot Username - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17032912989695546966,2,,,,,,Forgot Username
21,https://www.simple-cv-builder.com/forgot-username.php,Forgot Username - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,17032912989695546966,2,,,,,,Forgot Username
28,https://www.simple-cv-builder.com/privacy.php,Privacy Policy - Simple CV Builder,text/html; charset=utf-8,false,200,0,1,true,,,,,0,4523337062785987711,2,,,,,,Privacy Policy
28,https://simple-cv-builder.com/privacy.php,Privacy Policy - Simple CV Builder,text/html; charset=utf-8,false,200,0,1,true,,,,,0,4523337062785987711,2,,,,,,Privacy Policy
22,https://www.simple-cv-builder.com/forgot-password.php,Forgot Password - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,2493747961344328962,2,,,,,,Reset Your Password
22,https://simple-cv-builder.com/forgot-password.php,Forgot Password - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,2493747961344328962,2,,,,,,Reset Your Password
22,https://www.simple-cv-builder.com/resend-verification.php,Resend Verification Email - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,1347213575396838200,2,,,,,,Resend Verification Email
22,https://simple-cv-builder.com/resend-verification.php,Resend Verification Email - CV App,text/html; charset=utf-8,false,200,0,1,true,,,,,0,1347213575396838200,2,,,,,,Resend Verification Email
28,https://www.simple-cv-builder.com/terms.php,Terms of Service - Simple CV Builder,text/html; charset=utf-8,false,200,0,1,true,,,,,0,1331842702090858439,2,,,,,,Terms of Service
28,https://simple-cv-builder.com/terms.php,Terms of Service - Simple CV Builder,text/html; charset=utf-8,false,200,0,1,true,,,,,0,1331842702090858439,2,,,,,,Terms of Service
